,last_updated,id_code,Country Name,Country Code,actor_type,isin_id,race_to_zero_member,end_target,end_target_percentage_reduction,end_target_baseline_year,end_target_intensity_unit,end_target_baseline_emissions,end_target_target_emissions,end_target_bau_emissions,end_target_other,Net-zero Target,Target Status,status_date,interim_target,interim_target_percentage_reduction,interim_target_baseline_year,interim_target_intensity_unit,interim_target_baseline_emissions,interim_target_target_emissions,interim_target_bau_emissions,interim_target_other,interim_target_year,end_target_text,interim_target_text,target_notes,source_url,gasses_coverage,territorial_emissions,consumption_emissions,international_aviation,international_shipping,scope_1,scope_2,scope_3,historical_emissions,coverage_notes,Detailed Plan,plan_options,Reporting Mechanism,equity,accountability,governance_notes,carbon_credit_offsets,carbon_credit_conditions,max_emission_offset,conditions_other,removals_targets,cdr,sinks_and_credits_notes,memberships,gdp_real,annual_revenue,population,industry,sector,employees,market_index,GHG,inventory_year,higher_net_zero,gcap_id
49,2022-05-22 09:52:29,COU-0050,Croatia,HRV,Country,,No,Net zero,,,,,,,,2050,In policy document,2020,Emissions reduction target,36.7,1990,,,,,,2030,,"By 2030, the Republic of Croatia will strive for a more ambitious reduction of emissions, with a trajectory in the area between the low-carbon scenarios NU1 and NU2 (-33.5 to -36.7) ",,https://mingor.gov.hr/UserDocsImages/klimatske_aktivnosti/odrzivi_razvoj/NUS/lts_nus_eng.pdf,Carbon dioxide and other GHGs,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,,Yes,"['Measures for all emission scopes that are covered by the target', 'Schedule for regular review of measures']",Less than annual reporting,No,No,,Not Specified,,,,No,Yes (nature-based and CCS-based removals),,['Climate Ambition Alliance'],121050800909.84,,4060136,,,,,17920000,2019,,
50,2022-12-16 03:32:56,COU-0051,Haiti,HTI,Country,,No,1.5°C target,,,,,,,,,Declaration / pledge,,Reduction v. BAU,6.32,,,,1.196,18.97,,2030,,"2030 BAU Emission estimated: 18.970 MtCO2eq
Unconditional Reduction Target: 1.196 MtCO2eq (6.32% of the BAU Emission projected)
Conditional Reduction Target: 6.032 MtCO2eq (31.80% of the BAU Emission projected)",,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20Revisee%20Haiti%202022.pdf,Carbon dioxide and other GHGs,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,,No,,Less than annual reporting,,Not Specified,,Yes,['No conditions specified'],,,No,Not Specified,"Haiti does not yet participate in carbon trading activities.
https://openknowledge.worldbank.org/bitstream/handle/10986/9476/537930BRI0Clim10Box345626B01PUBLIC1.pdf

However, Haiti indicated that it is willing to participate in the financial mechanism related to voluntary carbon market as per Article 6 of Paris Agreement (page 38), however this does not necessarily imply Haiti will purchase carbon credits from other countries to meet its NDC. ",['Climate Ambition Alliance'],32856183345.975,,11306802,,,,,11130000,2019,,
51,2022-05-15 23:08:10,COU-0052,Hungary,HUN,Country,,No,Net zero,,,,,,,,2050,In law,2020,Emissions reduction target,40,1990,,,,,,2030,https://www.parlament.hu/irom41/07021/07021-0010.pdf,"binding target of an at least 40% domestic reduction in greenhouse gas emissions by 2030 compared to 1990, https://unfccc.int/sites/default/files/resource/HR-03-06-2020%20EU%20Submission%20on%20Long%20term%20strategy.pdf",https://www.parlament.hu/irom41/07021/07021-0010.pdf,https://www.parlament.hu/irom41/07021/07021-0010.pdf,Carbon dioxide and other GHGs,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,,,No,,Annual reporting,No,No,,No,,,,No,Not Specified,,['Climate Ambition Alliance'],325455707553.92,,9709786,,,,,62480000,2019,,
52,2022-05-22 09:18:35,COU-0053,Ireland,IRL,Country,,No,Net zero,,,,,,,,2050,In law,2021,Emissions reduction target,55,1990,,,,,,2030,,"'Economy-wide net domestic reduction of at least 55% in greenhouse gas emissions by 2030 compared to 1990.' This interim target was based on the updated NDC submitted by Ireland to UNFCCC. 
https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020_0.pdf
",2050 Net Zero goal is in law within the Climate Action and Low Carbon Development (Amendment) Bill 2021 [see https://www.gov.ie/en/publication/984d2-climate-action-and-low-carbon-development-amendment-bill-2020/],https://static.rasset.ie/documents/news/2020/06/draft-programme-for-govt.pdf,Carbon dioxide and other GHGs,Yes,Not Specified,No,No,Not Specified,Not Specified,Not Specified,,"Gases covered based on updated NDC: GO2, CH4, N2O, HFCs, PFCs, SF6, NF3 Aviation: Not international, but covers flights within European Economic Area",Yes,,Annual reporting,Yes,,,Not Specified,,,,No,Not Specified,"Ireland has adopted a 5-year CCS review process, with a steering group established in 2019

From updated NDC: Traded credits: 'without contribution from international credits' Carbon removal: says that 'nature-based solutions play an important role' but unclear what these are exactly",['Climate Ambition Alliance'],513655992113.86,,4986526,,,,,58680000,2019,,
53,2022-06-26 15:20:54,COU-0054,Iceland,ISL,Country,,No,Carbon neutral(ity),,,,,,,,2040,In policy document,2020,Emissions reduction target,55,1990,,,,,,2030,,"The target of at least 55% net reduction by 2030 is intended to be achieved
through domestic measures, in the context of acting jointly with the
European Union and its Member States and with Norway, without
contribution from international credits.  (p.11)","Included in new NDC document. 

",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Iceland%20First/Iceland_updated_NDC_Submission_Feb_2021.pdf,Carbon dioxide and other GHGs,Yes,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,,https://www.stjornarradid.is/library/02-Rit--skyrslur-og-skrar/Iceland_LTS_2021.pdf,Yes,,Annual reporting,No,,,No,,,,,Yes (nature-based and CCS-based removals),"""The target of at least 55% net reduction by 2030 is intended to be achieved through domestic measures, in the context of acting jointly with the
European Union and its Member States and with Norway, without contribution from international credits. "" (p.11) However, this does not specify that international credits will not count, just that the target is for domestic reductions.



They aim to use nature-based solutions to enhance and support other emission reduction measures. Additionally: ""The legislation and further work on the legal framework for CCS in Iceland aims to enable the use of the CCS opportunities in order to reach climate neutrality.""

https://www.stjornarradid.is/library/02-Rit--skyrslur-og-skrar/Iceland_LTS_2021.pdf",['Climate Ambition Alliance'],19903878107.613,,370335,,,,,2770000,2019,,
54,2022-11-12 14:33:44,COU-0055,Italy,ITA,Country,,No,Climate neutral,,,,,,,,2050,In policy document,2021,Emissions reduction target,55,1990,,,,,,2030,"REGULATION (EU) 2021/1119 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL, of 30 June 2021, outlines goal for climate neutrality by 2050, maintaining the interim 55% by 2030 emissions reduction goal (https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32021R1119&qid=1651147232273). ...the National Long-term Strategy (hereinafter referred to as the “Strategy”) identifies the possible pathways to achieve ""climate neutrality"" in Itay by 2050, in which the remaining greenhouse gas emissions are offset by CO2 sequestration and the eventual use of CCS-CCU.

...the National Long-term Strategy (hereinafter referred to as the “Strategy”) identifies the possible pathways to achieve ""climate neutrality"" in Itay by 2050, in which the remaining greenhouse gas emissions are offset by CO2 sequestration and the eventual use of CCS-CCU.","The target of reducing greenhouse gas emissions by at least 40% at European level by 2030 compared with 1990 is shared amongst the ETS sectors (energy industries, energy-intensive industrial sectors and aviation) and non-ETS sectors (transport, residential, tertiary, industry not included in the ETS sector, agriculture and waste), which will need to record a -43% and
-30% decrease, respectively, compared with 2005.

While the target for ETS sectors is set at European level, as it is a system applied to all Member States on a harmonised and centralised basis, the target of reducing greenhouse gases relating to sectors falling under the Effort Sharing Regulation is split between the various Member States.

Regulation (EU) 2018/842 on binding annual greenhouse gas emission reductions by Member States from 2021 to 2030 contributing to climate action to meet commitments under the Paris Agreement (the Effort Sharing Regulation, ESR) sets Italy a reduction target of -33% compared with 2005 levels for non-ETS sectors [NECP, p.239]. This target must be achieved by following a linear reduction trajectory that will identify an emissions limit for each year.","EU Climate Law includes: recognition of the need to enhance the EU’s carbon sink through a more ambitious LULLUCF regulation, for which the Commission made a proposal in July 2021, and a commitment to negative emissions post 2050. (https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32021R1119&qid=1651147232273). Italy has submitted a National Long-Term Strategy to achieve ""climate neutrality"" by 2050 in accordance with the Paris Agreement. Its National Energy and Climate Plan (NECP) also references an objective of decarbonisation by 2050 and sets interim targets for 2030. The EU's European Climate Law brings the European Green Deal (and hence the 2050 target) into law: https://ec.europa.eu/clima/policies/eu-climate-action/law_en

Italy has submitted a National Long-Term Strategy to achieve ""climate neutrality"" by 2050 in accordance with the Paris Agreement. Its National Energy and Climate Plan (NECP) also references an objective of decarbonisation by 2050 and sets interim targets for 2030. 

The EU's European Climate Law brings the European Green Deal (and hence the 2050 target) into law: https://ec.europa.eu/clima/policies/eu-climate-action/law_en

The interim target is reported as 33% emissions reductions compared to 2005 for now. We feel 40% reductions compared to 1990 may be more accurate but the system does not allow entry of a year prior to 2000. 

National Long-Term Strategy (January 2021): see source URL below or English-language summary at https://ec.europa.eu/clima/sites/lts/lts_it_sum_en.pdf  
National Energy and Climate Plan (published January 2020): https://ec.europa.eu/energy/sites/default/files/documents/it_final_necp_main_en.pdf",https://ec.europa.eu/clima/sites/lts/lts_it_it.pdf,Carbon dioxide and other GHGs,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,"Other GHGs are mentioned in the EU's NDC (https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Italy%20First/EU_NDC_Submission_December%202020.pdf, p.10), which the rest of this target refers to. Consumption emissions aren't covered in the target, but they're introducing a 'Carbon Border Adjustment Mechanism' to tax imports and avoid 'pushing carbon-intensive production outside Europe' (https://ec.europa.eu/commission/presscorner/detail/en/IP_21_3541) Intra-EU flights are covered in the EU's ETS, but extra-EU flights aren't (instead covered by CORSIA) (https://ec.europa.eu/clima/policies/transport/aviation_en). (Since 50% of flights are intra-EU or domestic, I've considered this as 'Yes') Shipping: 'Intra-EU traffic' is covered by these targets, but only 50% of extra-EU voyages (i.e. trips that only start/end in the EU) (https://ec.europa.eu/commission/presscorner/detail/en/fs_21_3665)",Yes,,Annual reporting,Yes,,Both nature-based and CCs-based removals listed in Italian LTS (https://ec.europa.eu/clima/sites/lts/lts_it_sum_en.pdf). The EU's target plans don't allow the use of credits but no explicit statement in LTS that offsetting is ruled out (https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52021PC0552).,No,,,,No,Yes (nature-based and CCS-based removals),"Both nature-based and CCs-based removals listed in Italian LTS (https://ec.europa.eu/clima/sites/lts/lts_it_sum_en.pdf).

The EU's target plans don't allow the use of credits but no explicit statement in LTS that offsetting is ruled out (https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52021PC0552).",['Climate Ambition Alliance'],2477072749450.4,,59240330,,,,,376190000,2019,,
55,2022-05-21 16:43:10,COU-0056,Jamaica,JAM,Country,,No,Net zero,,,,,,,,2050,Proposed / in discussion,2020,Other,,,,,,,"by 2030, it foresees emission reductions covering these two sectors of between

25.4 per cent (unconditional) and 28.5 per cent (conditional) relative to a business-as-usual scenario (which takes into account policies in place as of 2005",2030,"Pledge at 2019 Climate Ambition Summit

The result of these positive changes is that Jamaica’s latest NDC will be significantly more ambitious. By 2030, it foresees emission reductions covering these two sectors of between 25.4 per cent (unconditional) and 28.5 per cent (conditional) relative to a business-as-usual scenario (which takes into account policies in place as of 2005). This implies that emissions in these sectors would be 1.8 to 2.0 MtCO2e lower than they otherwise be, compared with a range of 1.1 to 1.5 MtCO2e in its previous NDC.","By 2030, it foresees emission reductions covering these two sectors of between

25.4 per cent (unconditional) and 28.5 per cent (conditional) relative to a business-as-usual scenario (which takes into account policies in place as of 2005","https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf

The latest research suggests that 100% renewable power should be possible in Jamaica by 2055. Switching to more resilient or easily repairable types of energy infrastructure can also help minimise impacts on tourism and transport sectors by reducing the impact of storms. - from COP26

Business-as-usual emissions in the energy sector in 2030: 
8.2MtCO2e
• Business-as-usual emissions related to land use change and forestry 
sector in 2030: -1.0MtCO2e
• Total business-as-usual emissions in 2030 of sectors in the NDC: 
7.2MtCO2e
25.4% reduction relative to business-as-usual emissions in 2030 
without international support (unconditional)
• 28.5% reduction relative to business-as-usual emissions in 2030
conditional upon international support
",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Jamaica%20First/Updated%20NDC%20Jamaica%20-%20ICTU%20Guidance.pdf,Carbon dioxide and other GHGs,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,"All relevant GHG gases were accounted for using the IPCC 2006 Guidelines for the National 
Greenhouse Gas Inventories and IPCC 2013 Wetlands Supplement.

Energy sector: 
• Carbon dioxide (CO2)
• Methane (CH4)
• Nitrous Oxide (N20)
• Hydrofluorocarbons (HFCs)
Land-use change and forestry: CO2
",No,,Less than annual reporting,Yes,No,"The first global stocktake will take place in 2023.

Jamaica is actively seeking to end or significantly reduce poverty in all forms. This is complemented by a Social Protection Strategy and creating an enabling environment businesses and economic activities to grow while increasingly putting in place measures to safeguard natural resources. Data shows that poverty has fluctuated over the past decade and remains highest in rural areas. The government’s commitment to addressing poverty is reflected in its NDC through, for example, recognising the importance of increased agricultural production, the sustainable management of ",Not Specified,,,,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",,['Climate Ambition Alliance'],27136157183.293,,2827695,,,,,10150000,2019,,
56,2022-06-22 11:05:50,COU-0057,Japan,JPN,Country,,No,Net zero,,,,,,,,2050,In law,2021,Emissions reduction target,46,2013,,,,,,2030,'...longterm goal of achieving net-zero by 2050','46% below 2013 levels by 2030',"Japan aims to reduce its greenhouse gas emissions by 46 percent, equivalent to the reduction of 76 million t-CO2, in fiscal year 2030 from its fiscal year 2013 levels. Furthermore, Japan will continue strenuous efforts in its challenge to meet the lofty goal of cutting its emission by 50 percent from its fiscal year 2013 levels. ",https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Japan%20First/JAPAN_FIRST%20NDC%20(INTERIM-UPDATED%20SUBMISSION).pdf,Carbon dioxide and other GHGs,Yes,Not Specified,No,No,Not Specified,Not Specified,Not Specified,No,"All sectors and categories encompassing the following: (a) Energy (b) Industrial processes and product use (c) Agriculture (d) Land Use, Land-Use Change and Forestry (LULUCF) (e) Waste ",No,,Annual reporting,No,Not Specified,"While Japan's net zero target doesn't have a detailed plan, its NDC provides some details such as referring to equity, but in very little detail and no direct reference to the net zero target.",Not Specified,,,,No,Not Specified,,['Climate Ambition Alliance'],5124016949697.8,,124612531,,,,,1134450000,2019,No,
57,2022-06-05 14:47:29,COU-0058,Cambodia,KHM,Country,,No,Net zero,,,,,,,,2050,Achieved (self-declared),2020,Reduction v. BAU,41.7,,,,157,90,,2030,"Climate Ambition Alliance member
https://cop25.mma.gob.cl/wp-content/uploads/2020/12/1312-Annex-Alliance-ENGLISH-VF-2012.pdf","From Cambodia's updated NDC (31 Dec 2020): The estimated total emissions reduction by 2030 under the updated NDC scenario is expected to​​ be approximately 64.6 million tCO2eq/year (41.7%).

Source:
https://ncsd.moe.gov.kh/dcc/news/press-release-cambodia%E2%80%99s-updated-ndc-under-unfccc#:~:text=The%20estimated%20total%20emissions%20reduction,date%20will%20be%20announced%20later.

https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Cambodia%20First/20201231_NDC_Update_Cambodia.pdf",,https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf,Carbon dioxide and other GHGs,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Cambodia published its LTS4CN in December 2021: https://unfccc.int/sites/default/files/resource/KHM_LTS_Dec2021.pdf,Yes,"['Measures for all emission scopes that are covered by the target', 'Information on the emission reductions expected from these measures within a certain time period', 'Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)', 'Schedule for regular review of measures']",Less than annual reporting,No,Yes,Cambodia published its LTS4CN in December 2021: https://unfccc.int/sites/default/files/resource/KHM_LTS_Dec2021.pdf,Not Specified,,,,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",,['Climate Ambition Alliance'],72237982362.012,,16589024,,,,,71770000,2019,,
58,2022-06-12 07:22:24,COU-0059,Kiribati,KIR,Country,,No,Net zero,,,,,,,,2050,Proposed / in discussion,2020,Other,,,,,,,"kiribati’s unconditional contribution will reduce emissions by 10,090tco2e annually throughout the period 2020 to 2030.",2030,,,"Kiribati’s conditional contribution (with international assistance) will reduce emissions by 35,880tCO2e annually by 2025.",https://cop25.mma.gob.cl/wp-content/uploads/2020/02/Annex-Alliance-ENGLISH.pdf,Carbon dioxide only,Yes,Yes,No,No,Not Specified,Not Specified,Not Specified,,"Reducing fossil fuel imports is a goal.
https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Kiribati%20First/INDC_KIRIBATI.pdf",Yes,"['Schedule for regular review of measures', 'Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)', 'Information on the emission reductions expected from these measures within a certain time period']",Less than annual reporting,Yes,Not Specified,"Three year plan for actions in the Republic of Kiribati to adapt to climate change: https://unfccc.int/resource/docs/napa/kir01.pdf

activities proposed: (1) Solar PV mini grid system for Southern Kiribati Hospital (2.4 million AUD) - design, procure and install off-grid PV systems for the Southern main hospital (265kWp); (2) Outer Island Clinic solar system rehabilitation ($230,000 AUD) - design, procure, and install 58 systems in total on 20 outer Islands; (3) Mereang Taabwai Secondary Schools solar PV mini-grid ($500,000 AUD) - design, procure and install off-grid PV systems (20 kWp) for the school; and many more activities at the source https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Kiribati%20First/INDC_KIRIBATI.pdf

Equity: Greenhouse gas emissions from Kiribati in 2014 were approximately 63,000tCO2e/year. This is extremely small: representing approximately just 0.0002% of global emissions.  Kiribati also has low per capita emissions, at just: 0.6tCO2 per person in 2014. 
https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Kiribati%20First/INDC_KIRIBATI.pdf",Not Specified,,,,,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)","carbon storage in the ocean ecosystem.
Kiribati will consider market based mechanisms.
https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Kiribati%20First/INDC_KIRIBATI.pdf",['Climate Ambition Alliance'],259420938.327279,,126464,,,,,120000,2019,,
59,2022-12-12 15:59:19,COU-0060,Saint Kitts and Nevis,KNA,Country,,No,Emissions reduction target,61,2010,,,,,,2030,In policy document,2021,,,,,,,,,,"This revised and strengthened NDC pledges a significantly more ambitious mitigation target of reducing economy-wide CO2 emissions by 61% by 2030, compared to the base year 2010, conditional upon adequate access to resources including climate finance as well as capacity building support. This will be achieved by switching to 100% renewable energy in electricity generation and increasing the share of electric vehicles in the vehicle fleet to at least 2%

https://unfccc.int/sites/default/files/NDC/2022-06/St.%20Kitts%20and%20Nevis%20Revised%20NDC_Updated.pdf","No longer an interim target. Used to be a target for both 2025 and 2030, now just one target emission reduction target for 2030.","St. Kitts and Nevis is committed to reducing its emissions and limiting the average global temperature rise to 1.5° C. In the first NDC, St. Kitts and Nevis proposed a CO2 emissions reduction target of 22% by 2025 and 35% by 2030 compared to the business-as-usual scenario, decreasing economy-wide emissions to 529 GgCO2e. and 540 GgCO2e. by 2025 and 2030 respectively. The first NDC covered all economic sectors, but special attention as given to the power generation and transportation sectors because they had the highest CO2 emissions reduction potential.

This revised and strengthened NDC pledges a significantly more ambitious mitigation target of reducing economy-wide CO2 emissions by 61% by 2030, compared to the base year 2010, conditional upon adequate access to resources including climate finance as well as capacity building support. This will be achieved by switching to 100% renewable energy in electricity generation and increasing the share of electric vehicles in the vehicle fleet to at least 2%

https://unfccc.int/sites/default/files/NDC/2022-06/St.%20Kitts%20and%20Nevis%20Revised%20NDC_Updated.pdf",https://unfccc.int/sites/default/files/NDC/2022-06/St.%20Kitts%20and%20Nevis%20Revised%20NDC_Updated.pdf,Carbon dioxide only,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,All measurements of greenhouse gases are measured in GtCO2e.,Yes,"['Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)']",Less than annual reporting,Yes,Not Specified,"Plan to apply the NDC targets:

April 2022 launch of the NDC Implementation Plan.
https://ndcpartnership.org/news/highlights-saint-kitts-and-nevis’-ndc-implementation-plan-launch-event-and-partner-roundtable

""The St Kitts and Nevis NDC Implementation Plan and Financing Strategy describes in more detail the mitigation and adaptation measures expected to be implemented for this NDC. The strategy lays the groundwork to reduce and adapt to the effects of climate change and translate the NDC target to real actions, intervention, and support identifying potential funding sources and mechanisms to help achieve the NDC target"".  https://unfccc.int/sites/default/files/NDC/2022-06/St.%20Kitts%20and%20Nevis%20Revised%20NDC_Updated.pdf


EQUITY: 

""St. Kitts and Nevis is already experiencing loss and damage from climate change and is projected to continue to experience loss and damage despite mitigation and adaptation measures. Based on projections of changes to climate hazards and resultant risks, climate change is likely to result in increased levels of both economic and non-economic loss and damage. International support to avert, minimize and address loss and damage in St. Kitts and Nevis is needed.""

'[...] St. Kitts and Nevis’ revised NDC is fair and ambitious. The revised NDC target of a 61% reduction of greenhouse emissions against base year 2010 is consistent with the IPCC Special Report on the Impacts of Global Warming of 1.5 ℃.""

""St. Kitts and Nevis recognizes climate change has differentiated impacts on the lives of women and men. Mitigation actions present the possibility to close gender gaps by, for example, increasing the participation of diverse women and men in new labor markets, their insertion in non-traditional roles, or by making their production processes more efficient and increasing their income generation capacity. Meanwhile, women and men experience differentiated vulnerabilities in the face of climate change that vary depending on their position in existing value chains, and their access to information and investment resources, among other variables.""",Not Specified,,,,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)","Removal through forests'[...] The FAO Statistics Division 2014 estimates that forests in St. Kitts and Nevis remove approximately 137 Gg of carbon dioxide annually. However, recent data on land use change, biomass stock, or biomass growth is lacking, and the calculation of the amount of greenhouse gas removed relies on estimations from default values.[...]'

",['Climate Ambition Alliance'],1279743293.315,,47607,,,,,350000,2019,,
60,2022-12-12 16:41:08,COU-0061,South Korea,KOR,Country,,No,Net zero,,,,,,,,2050,In law,2021,Emissions reduction target,40,2018,,,,,,2030,"The RoK announced its goal of reaching carbon neutrality by 2050 in Dec 2020. This target was written into law in the Carbon Neutrality Act, enacted Sept 2021.","In December 2021, the Republic of Korea submitted an updated emission reduction target to UNFCCC, scaling up the absolute emissions reduction target from 709.1 MtCO2eq to 727.6 MtCO2eq, which is equivalent to the 40% reduction from the total national GHG emissions in 2018. (Previously reduction target of 709.1 MtCO2eq corresponds to a 24.4% reduction from the 2017 level) In line with its previous target, the updated target (2021) is more predictable and transparent than the target relative to Business-As-Usual (BAU) emissions projection in the previous first NDC.","As the Republic of Korea has significantly enhanced the previous update of its first NDC by 2030 from the 24.4% reduction compared to 2017 to level to 40% reduction from 2018 level, the GHG emissions level targeted in 2030 is reduced from 535.1 MtCO2equ to 436.6 MtCO2eq, which is approximately 100 MtCO2eq reduction. 

To achieve this updated NDC target, the Republic of Korea is seeking to bring about transitions in its economy and society. In line with the 2030 target and the 2050 goal, sectoral strategies will be developed and policy directions of each sector – energy, industry, transportation, buildings, circular economy, and agriculture, forestry, livestock farming and fisheries – will be coordinated accordingly. ",https://unfccc.int/sites/default/files/NDC/2022-06/211223_The%20Republic%20of%20Korea%27s%20Enhanced%20Update%20of%20its%20First%20Nationally%20Determined%20Contribution_211227_editorial%20change.pdf,Carbon dioxide and other GHGs,Not Specified,Not Specified,Not Specified,Not Specified,,,,No,"Sectors: energy, industrial process, agriculture, LULUCF, and waste
GHGs: carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbon (PFCs), sulfur hexafluoride (SF6)
GHGs from all sectors are included except NF3. The NF3 is not included because of the absence of its activity data. However, once the activity data is collected, it will be compiled in the National GHG Inventory Report. 
(Source: p. 10 - https://unfccc.int/sites/default/files/NDC/2022-06/211223_The%20Republic%20of%20Korea%27s%20Enhanced%20Update%20of%20its%20First%20Nationally%20Determined%20Contribution_211227_editorial%20change.pdf)

The Republic of Korea has joined the Global Methane Pledge to become a part of the global efforts to tackle the climate crisis. By joining the Pledge, the Republic of Korea aims to reduce its domestic methane emissions, in order to contribute to the achievement of the goal of the Pledge, which is to reduce global methane emissions by at least 30% from 2020 level by 2030. ",Yes,"['Measures for all emission scopes that are covered by the target', 'Schedule for regular review of measures', 'Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)']",Annual reporting,Yes,Yes,"In September 2021, the Republic of Korea enacted the Framework Act on Carbon Neutrality and Green Growth for Climate Crisis Response (or “the Carbon Neutrality Act”). (English version available at https://elaw.klri.re.kr/kor_service/lawView.do?hseq=59958&lang=ENG) According to the Article 7, 8 and 9 of the Carbon Neutrality Act, the Government should set forth the National Vision and Strategy, and the National mid- and long-term greenhouse gas reduction targets, which are subjet to annual review and inspections. 

Followings are key factors to be considered when formulating the mid- and long-term emission reduction targets: 
1. Mid- and long-term outlook for the national greenhouse gas emission and absorption;
2.	National visions and strategies;
3.	Attainability of the mid- to long-term reduction targets, etc.;
4.	Sectoral contributions to greenhouse gas emissions and reductions;
5.	Impacts on national energy policies;
6.	Impacts on the domestic industry, especially on the industry type and region highly dependent on fossil fuels;
7.	Impacts on the national finance;
8.	Prospect of related technologies for reducing greenhouse gases, etc.;
9.	Trend of the international community in coping with climate crisis.
 
",Yes,['No conditions specified'],,,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)","The Republic of Korea plans to use voluntary cooperation under Article 6 of the Paris Agreement as a complementary measure to its domestic mitigation efforts including LULUCF to achieve its target. The Republic of Korea plans to use voluntary cooperation under Article 6 of the Paris Agreement as a supplementary measure to achieve its NDC. (p.9 and p.23 - https://unfccc.int/sites/default/files/NDC/2022-06/211223_The%20Republic%20of%20Korea%27s%20Enhanced%20Update%20of%20its%20First%20Nationally%20Determined%20Contribution_211227_editorial%20change.pdf)

Separate targets for emissions reductions and removals are set for 2030: 2050 Carbon Neutrality Commission (chaired by the Prime Minister) indicated separated target for absorption and removal (Carbon sink, CCUS, Overseas reduction) which is equivalent to 48.6 MtCO2eq in total. 
(source - official website: https://2050cnc.go.kr/eng/contents/view?contentsNo=43&menuLevel=2&menuNo=50)
",,2282777644814.1,,51830139,,,,,652660000,2019,,
